,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location,address_for_query,formatted_address,lat,lng
68,Ellington School District,Ellington Middle School,Public Schools,485111,46 Middle Butcher Rd.,Ellington,06029,860-896-2339,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"46 Middle Butcher Rd.
Ellington, CT 06029
(41.878374, -72.459958)","46 Middle Butcher Rd., Ellington, Connecticut, USA","46 Middle Butcher Rd, Ellington, CT 06029, USA",41.879172,-72.4590339
69,Side By Side Charter School District,Side By Side Charter School,Public Charter Schools,2700113,10 Chestnut St.,Norwalk,06854,203-857-0306,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"10 Chestnut St.
Norwalk, CT 06854
(41.095752, -73.420277)","10 Chestnut St., Norwalk, Connecticut, USA","10 Chestnut St, Norwalk, CT 06854, USA",41.0954454,-73.4198167
70,Hartford School District,"Breakthrough Magnet School, North",Public Schools,643511,25 Ridgefield Street,Hartford,06112,860-695-6380,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-08-25T00:00:00.000,1.0,"25 Ridgefield Street
Hartford, CT 06112
(41.785631, -72.696001)","25 Ridgefield Street, Hartford, Connecticut, USA","25 Ridgefield St, Hartford, CT 06112, USA",41.7858254,-72.69728769999999
71,Vernon School District,Rockville High School,Public Schools,1466111,70 Loveland Hill,Vernon,06066-2304,860-870-6050,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"70 Loveland Hill
Vernon, CT 06066-2304
(41.857053, -72.482569)","70 Loveland Hill, Vernon, Connecticut, USA","70 Loveland Hill Rd, Vernon, CT 06066, USA",41.8569939,-72.4799723
72,Mansfield School District,Mansfield School District,Public School Districts,780011,4 South Eagleville Road,Storrs,06268,860-429-3350,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0.0,"4 South Eagleville Road
Storrs, CT 06268
(41.800685, -72.241767)","4 South Eagleville Road, Storrs, Connecticut, USA","Mansfield Town Hall, 4 S Eagleville Rd, Storrs, CT 06268, USA",41.8014173,-72.2425733
73,Norwich School District,Thomas W. Mahan School,Public Schools,1041711,94 Salem Tpke.,Norwich,06360-6496,860-823-4205,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"94 Salem Tpke.
Norwich, CT 06360-6496
(41.511374, -72.113061)","94 Salem Tpke., Norwich, Connecticut, USA","94 Salem Turnpike, Norwich, CT 06360, USA",41.5101266,-72.1123238
74,New Britain School District,Holmes Elementary School,Public Schools,890611,2150 Stanley St.,New Britian,06053-1425,860-223-8294,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"2150 Stanley St.
New Britian, CT 06053-1425
(41.704149, -72.775669)","2150 Stanley St., New Britian, Connecticut, USA","2150 Stanley St, New Britain, CT 06053, USA",41.7038026,-72.77791069999999
75,North Branford School District,North Branford Intermediate School,Public Schools,995111,654 Foxon Rd.,North Branford,06471-1108,203-484-1500,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"654 Foxon Rd.
North Branford, CT 06471-1108
(41.332479, -72.799495)","654 Foxon Rd., North Branford, Connecticut, USA","654 Foxon Rd, North Branford, CT 06471, USA",41.332638,-72.7997797
76,Fairfield School District,North Stratfield School,Public Schools,511611,190 Putting Green Rd.,Fairfield,06825,203-255-8322,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"190 Putting Green Rd.
Fairfield, CT 06825
(41.206732, -73.247847)","190 Putting Green Rd., Fairfield, Connecticut, USA","190 Putting Green Rd, Fairfield, CT 06825, USA",41.206874,-73.249721
77,Plainfield School District,Plainfield Memorial School,Public Schools,1090311,95 Canterbury Rd.,Plainfield,06374-1557,860-564-6440,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"95 Canterbury Rd.
Plainfield, CT 06374-1557
(41.683666, -71.930014)","95 Canterbury Rd., Plainfield, Connecticut, USA","95 Canterbury Rd, Plainfield, CT 06374, USA",41.6829311,-71.93117
78,East Haddam School District,Nathan Hale-Ray High School,Public Schools,416111,"15 School Drive, P.O. Box 404",Moodus,06469-0404,860-873-5065,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1994-08-01T00:00:00.000,0.0,"15 School Drive, P.O. Box 404
Moodus, CT 06469-0404
(41.490656, -72.446327)","15 School Drive, P.O. Box 404, Moodus, Connecticut, USA","15 School Rd, Moodus, CT 06469, USA",41.4934459,-72.44352119999999
79,New Milford School District,Northville Elementary School,Public Schools,960811,22 Hipp Rd.,New Milford,06776-2221,860-355-3713,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"22 Hipp Rd.
New Milford, CT 06776-2221
(41.619538, -73.39444)","22 Hipp Rd., New Milford, Connecticut, USA","22 Hipp Rd, New Milford, CT 06776, USA",41.6184111,-73.39510489999999
80,Regional School District 06,James Morris School,Regional Schools,2060212,10 East St.,Morris,06763-1801,860-567-7420,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"10 East St.
Morris, CT 06763-1801
(41.684018, -73.197919)","10 East St., Morris, Connecticut, USA","10 East St, Morris, CT 06763, USA",41.68362,-73.19778649999999
81,Trumbull School District,Middlebrook School,Public Schools,1440311,220 Middlebrooks Ave.,Trumbull,06611-3015,203-452-4411,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"220 Middlebrooks Ave.
Trumbull, CT 06611-3015
(41.250313, -73.211738)","220 Middlebrooks Ave., Trumbull, Connecticut, USA","220 Middlebrooks Ave, Trumbull, CT 06611, USA",41.2496879,-73.2111975
82,Department of Mental Health and Addiction Services,Department of Mental Health and Addiction Services,State Agencies,3370015,"410 Capitol Avenue, Box 341431",Hartford,06134,860-262-7009,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0.0,"410 Capitol Avenue, Box 341431
Hartford, CT 06134
(41.763725, -72.689632)","410 Capitol Avenue, Box 341431, Hartford, Connecticut, USA","410 Capitol Ave, Hartford, CT 06106, USA",41.7641123,-72.6896332
83,Avon School District,Roaring Brook School,Public Schools,40311,30 Old Wheeler Ln.,Avon,06001-4061,860-404-4810,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"30 Old Wheeler Ln.
Avon, CT 06001-4061
(41.791866, -72.89051)","30 Old Wheeler Ln., Avon, Connecticut, USA","30 Old Wheeler Ln, Avon, CT 06001, USA",41.79305,-72.888238
84,Regional School District 15,Middlebury Elementary School,Regional Schools,2150612,550 Whittemore Rd,Middlebury,06762-1093,203-758-2401,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"550 Whittemore Rd
Middlebury, CT 06762-1093
(41.527125, -73.101078)","550 Whittemore Rd, Middlebury, Connecticut, USA","550 Whittemore Rd, Middlebury, CT 06762, USA",41.5286285,-73.1007516
85,Hartford School District,Hartford Public High School,Public Schools,646211,55 Forest Street,Hartford,06105,860-695-1300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2019-07-01T00:00:00.000,0.0,"55 Forest Street
Hartford, CT 06105
(41.765518, -72.700214)","55 Forest Street, Hartford, Connecticut, USA","55 Forest St, Hartford, CT 06105, USA",41.7643207,-72.70134139999999
86,Hartford School District,Hartford Magnet Trinity College Academy,Public Schools,645411,53 Vernon Street,Hartford,06103,860-695-7201,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1999-07-01T00:00:00.000,1.0,"53 Vernon Street
Hartford, CT 06103
(41.751262, -72.686491)","53 Vernon Street, Hartford, Connecticut, USA","53 Vernon St, Hartford, CT 06106, USA",41.7497553,-72.68671619999999
87,Bridgeport School District,"Biotechnology, Research & Zoological Studies Magnet High School",Public Schools,150611,840 Old Town Road,Bridgeport,06606,203-275-3413,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2013-08-29T00:00:00.000,1.0,"840 Old Town Road
Bridgeport, CT 06606
(41.224738, -73.1908)","840 Old Town Road, Bridgeport, Connecticut, USA","840 Old Town Rd, Bridgeport, CT 06606, USA",41.22487539999999,-73.1854347
88,Odyssey Community School District,Odyssey Community School,Public Charter Schools,2635113,579 Middle Tpke West,Manchester,06040,860-645-1234,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"579 Middle Tpke West
Manchester, CT 06040
(41.781068, -72.550499)","579 Middle Tpke West, Manchester, Connecticut, USA","579 Middle Turnpike W, Manchester, CT 06040, USA",41.781761,-72.550517
89,New Fairfield School District,New Fairfield High School,Public Schools,916111,54 Gillotti Rd.,New Fairfield,06812-2525,203-312-5800,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"54 Gillotti Rd.
New Fairfield, CT 06812-2525
(41.458613, -73.503245)","54 Gillotti Rd., New Fairfield, Connecticut, USA","54 Gillotti Rd, New Fairfield, CT 06812, USA",41.4614474,-73.5070428
90,New Haven School District,Fair Haven School,Public Schools,931611,164 Grand Ave.,New Haven,06513,475-220-2600,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-07-01T00:00:00.000,0.0,"164 Grand Ave.
New Haven, CT 06513
(41.309146, -72.8936)","164 Grand Ave., New Haven, Connecticut, USA","164 Grand Ave, New Haven, CT 06513, USA",41.3085991,-72.8935461
91,Columbia School District,Columbia School District,Public School Districts,300011,3 Schoolhouse Road,Columbia,06237,860-228-9493,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0.0,"3 Schoolhouse Road
Columbia, CT 06237
(41.703206, -72.299823)","3 Schoolhouse Road, Columbia, Connecticut, USA","3 Schoolhouse Rd, Columbia, CT 06237, USA",41.7045494,-72.3008646
92,Naugatuck School District,Maple Hill School,Public Schools,880311,641 Maple Hill Rd.,Naugatuck,06770-3557,203-720-5236,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1989-07-01T00:00:00.000,0.0,"641 Maple Hill Rd.
Naugatuck, CT 06770-3557
(41.488785, -73.015082)","641 Maple Hill Rd., Naugatuck, Connecticut, USA","641 Maple Hill Rd, Naugatuck, CT 06770, USA",41.4890174,-73.0175593
93,Unified School District #1,Manson Youth Institution,State Agency Facilities,3361115,42 Jarvis St.,Cheshire,06410-1503,203-806-2570,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0.0,"42 Jarvis St.
Cheshire, CT 06410-1503
(41.526358, -72.902809)","42 Jarvis St., Cheshire, Connecticut, USA","42 Jarvis St, Cheshire, CT 06410, USA",41.5286783,-72.90000669999999
94,Stamford School District,Springdale School,Public Schools,1351111,1127 Hope St.,Stamford,06907,203-977-4575,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"1127 Hope St.
Stamford, CT 06907
(41.09684, -73.51995)","1127 Hope St., Stamford, Connecticut, USA","1127 Hope St, Stamford, CT 06907, USA",41.0974462,-73.5184593
95,Ridgefield School District,Branchville Elementary School,Public Schools,1180611,40 Florida Rd.,Ridgefield,06877-6111,203-894-5850,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1995-07-01T00:00:00.000,0.0,"40 Florida Rd.
Ridgefield, CT 06877-6111
(41.270365, -73.44617)","40 Florida Rd., Ridgefield, Connecticut, USA","40 Florida Rd, Ridgefield, CT 06877, USA",41.2703819,-73.4461026
96,Milford School District,Milford School District,Public School Districts,840011,70 West River Street,Milford,06460,203-783-3402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"70 West River Street
Milford, CT 06460
(41.226647, -73.058954)","70 West River Street, Milford, Connecticut, USA","70 W River St, Milford, CT 06460, USA",41.226155,-73.0593872
97,Sterling School District,Sterling Community School,Public Schools,1360311,251 Sterling Rd.,Sterling,06377,860-564-2728,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2007-09-03T00:00:00.000,0.0,"251 Sterling Rd.
Sterling, CT 06377
(41.707179, -71.83616)","251 Sterling Rd., Sterling, Connecticut, USA","251 Sterling Rd, Sterling, CT 06377, USA",41.70591539999999,-71.8367732
98,Portland School District,Portland Middle School,Public Schools,1135111,93 High Street,Portland,06480,860-342-1880,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"93 High Street
Portland, CT 06480
(41.580241, -72.625492)","93 High Street, Portland, Connecticut, USA","93 High St, Portland, CT 06480, USA",41.5799951,-72.6222897
99,Shelton School District,Shelton High School,Public Schools,1266111,120 Meadow St.,Shelton,06484-2276,203-922-3004,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"120 Meadow St.
Shelton, CT 06484-2276
(41.320713, -73.116296)","120 Meadow St., Shelton, Connecticut, USA","120 Meadow St, Shelton, CT 06484, USA",41.32001289999999,-73.1181794
100,Waterbury School District,Rotella Interdistrict Magnet School,Public Schools,1513311,380 Pierpont Rd.,Waterbury,06705,203-574-8168,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1999-07-01T00:00:00.000,1.0,"380 Pierpont Rd.
Waterbury, CT 06705
(41.549048, -72.971931)","380 Pierpont Rd., Waterbury, Connecticut, USA","380 Pierpont Rd, Waterbury, CT 06705, USA",41.54927319999999,-72.9697242
101,West Hartford School District,Morley School,Public Schools,1550911,77 Bretton Rd.,West Hartford,06119-1209,860-233-8535,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"77 Bretton Rd.
West Hartford, CT 06119-1209
(41.768896, -72.731542)","77 Bretton Rd., West Hartford, Connecticut, USA","77 Bretton Rd, West Hartford, CT 06119, USA",41.7690152,-72.7321597
102,Regional School District 12,Washington Primary School,Regional Schools,2120412,11 School St.,Washington Depot,06794-1221,860-868-7331,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"11 School St.
Washington Depot, CT 06794-1221
(41.63809, -73.318267)","11 School St., Washington Depot, Connecticut, USA","11 School St, Washington, CT 06793, USA",41.6380338,-73.3188701
103,Guilford School District,Guilford High School,Public Schools,606111,605 New England Rd.,Guilford,06437-1838,203-453-2741,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"605 New England Rd.
Guilford, CT 06437-1838
(41.313761, -72.712301)","605 New England Rd., Guilford, Connecticut, USA","605 New England Rd, Guilford, CT 06437, USA",41.3131315,-72.7143112
104,New Haven School District,New Haven School District,Public School Districts,930011,54 Meadow Street,New Haven,06519,475-220-1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"54 Meadow Street
New Haven, CT 06519
(41.299897, -72.925866)","54 Meadow Street, New Haven, Connecticut, USA","54 Meadow St, New Haven, CT 06519, USA",41.2998558,-72.9261174
105,Cromwell School District,Edna C. Stevens School,Public Schools,330211,25 Court St.,Cromwell,06416-1617,860-632-4866,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"25 Court St.
Cromwell, CT 06416-1617
(41.620278, -72.659116)","25 Court St., Cromwell, Connecticut, USA","25 Court St, Cromwell, CT 06416, USA",41.6190939,-72.65826369999999
106,Watertown School District,Watertown School District,Public School Districts,1530011,10 DeForest Street,Watertown,06795,860-945-4800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"10 DeForest Street
Watertown, CT 06795
(41.606173, -73.118466)","10 DeForest Street, Watertown, Connecticut, USA","10 Deforest St, Watertown, CT 06795, USA",41.6063398,-73.1192398
107,Oxford School District,Oxford School District,Public School Districts,1080011,462 Oxford Road,Oxford,06478,203-888-7754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0.0,"462 Oxford Road
Oxford, CT 06478
(41.436834, -73.119784)","462 Oxford Road, Oxford, Connecticut, USA","462 Oxford Rd, Oxford, CT 06478, USA",41.4374334,-73.1185943
108,Stratford School District,Stratford Academy - Victoria Soto School,Public Schools,1382211,699 Birdseye Street,Stratford,06615,203-375-2206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2015-09-03T00:00:00.000,,"699 Birdseye Street
Stratford, CT 06615
(41.179789, -73.138903)","699 Birdseye Street, Stratford, Connecticut, USA","699 Birdseye St, Stratford, CT 06615, USA",41.1798365,-73.139072
109,Danbury School District,Rogers Park Middle School,Public Schools,345211,21 Memorial Dr.,Danbury,06810-8005,203-797-4881,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"21 Memorial Dr.
Danbury, CT 06810-8005
(41.381119, -73.438203)","21 Memorial Dr., Danbury, Connecticut, USA","21 Memorial Dr, Danbury, CT 06810, USA",41.3834459,-73.4417034
110,Regional School District 18,Lyme Consolidated School,Regional Schools,2180112,478 Hamburg Road,Lyme,06371,860-434-1233,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"478 Hamburg Road
Lyme, CT 06371
(41.412957, -72.336818)","478 Hamburg Road, Lyme, Connecticut, USA","478 Hamburg Rd, Lyme, CT 06371, USA",41.4135254,-72.3376275
111,Killingly School District,Killingly Intermediate School,Public Schools,695211,1599 Upper Maple St.,Dayville,06241-1543,860-779-6700,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1990-07-01T00:00:00.000,0.0,"1599 Upper Maple St.
Dayville, CT 06241-1543
(41.84956, -71.895018)","1599 Upper Maple St., Dayville, Connecticut, USA","1599 Upper Maple St, Dayville, CT 06241, USA",41.8516052,-71.8974321
112,Judicial Centers,REGIONS staff-secure Hartford,State Agency Facilities,3482215,123 Washington Street,Hartford,06106,860-566-2030,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2020-03-09T00:00:00.000,,"123 Washington Street
Hartford, CT 06106
(41.758785, -72.682222)","123 Washington Street, Hartford, Connecticut, USA","123 Washington St, Hartford, CT 06106, USA",41.7590438,-72.6826638
113,Waterbury School District,Wendell L. Cross School,Public Schools,1510811,1255 Hamilton Ave.,Waterbury,06706-2306,203-574-8171,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"1255 Hamilton Ave.
Waterbury, CT 06706-2306
(41.532696, -73.013296)","1255 Hamilton Ave., Waterbury, Connecticut, USA","1255 Hamilton Ave, Waterbury, CT 06706, USA",41.53327830000001,-73.0120243
114,Deep River School District,Deep River Elementary School,Public Schools,360111,12 River St.,Deep River,06417-1921,860-526-5319,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"12 River St.
Deep River, CT 06417-1921
(41.386307, -72.4351)","12 River St., Deep River, Connecticut, USA","12 River St, Deep River, CT 06417, USA",41.3860126,-72.4345987
115,Windham School District,North Windham School,Public Schools,1630311,112 Jordan Ln.,North Windham,06256-1217,860-465-2400,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1987-07-01T00:00:00.000,0.0,"112 Jordan Ln.
North Windham, CT 06256-1217
(41.740397, -72.157782)","112 Jordan Ln., North Windham, Connecticut, USA","112 Jordan Ln, North Windham, CT 06256, USA",41.7409749,-72.1572554
116,Learn,The Friendship School,Regional Education Service Center Schools,2450214,24 Rope Ferry Rd.,Waterford,06385,860-447-4049,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2005-07-01T00:00:00.000,1.0,"24 Rope Ferry Rd.
Waterford, CT 06385
(41.341863, -72.133807)","24 Rope Ferry Rd., Waterford, Connecticut, USA","24 Rope Ferry Rd, Waterford, CT 06385, USA",41.3411743,-72.1329124
117,Bozrah School District,Bozrah School District,Public School Districts,130011,8 Bozrah Street Extension,Bozrah,06334-1300,860-887-2561,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0.0,"8 Bozrah Street Extension
Bozrah, CT 06334-1300
(41.563516, -72.154607)","8 Bozrah Street Extension, Bozrah, Connecticut, USA","8 Bozrah St Ext, Bozrah, CT 06334, USA",41.5633924,-72.15355319999999
118,South Windsor School District,South Windsor High School,Public Schools,1326211,161 Nevers Rd.,South Windsor,06074-2129,860-648-5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"161 Nevers Rd.
South Windsor, CT 06074-2129
(41.843196, -72.551698)","161 Nevers Rd., South Windsor, Connecticut, USA","161 Nevers Rd, South Windsor, CT 06074, USA",41.8425981,-72.55468069999999
119,Redding School District,John Read Middle School,Public Schools,1175111,486 Redding Road,Redding,06896,203-938-2533,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"486 Redding Road
Redding, CT 06896
(41.305336, -73.403194)","486 Redding Road, Redding, Connecticut, USA","486 Redding Rd, Redding, CT 06896, USA",41.3055169,-73.401906
120,Thomaston School District,Thomaston Center School,Public Schools,1400211,1 Thomas Ave.,Thomaston,06787-1502,860-283-3036,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1997-07-01T00:00:00.000,0.0,"1 Thomas Ave.
Thomaston, CT 06787-1502
(41.67381, -73.07462)","1 Thomas Ave., Thomaston, Connecticut, USA","1 Thomas Ave, Thomaston, CT 06787, USA",41.6738413,-73.07486089999999
121,Lisbon School District,Lisbon Central School,Public Schools,730111,15 Newent Rd.,Lisbon,06351-2926,860-376-2403,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"15 Newent Rd.
Lisbon, CT 06351-2926
(41.60541, -72.016357)","15 Newent Rd., Lisbon, Connecticut, USA","15 Newent Rd, Lisbon, CT 06351, USA",41.6044708,-72.0153342
122,Bethany School District,Bethany Community School,Public Schools,80111,44 Peck Road,Bethany,06524-3322,203-393-3350,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"44 Peck Road
Bethany, CT 06524-3322
(41.421904, -72.999047)","44 Peck Road, Bethany, Connecticut, USA","44 Peck Rd, Bethany, CT 06524, USA",41.4247035,-73.0001553
